Entry	Interacts with
Q02767	Q99176; P25604; Q06696
P39705	Q06142; P32499
P40477	Q06142; P40368
P53010	P36102
P40960	P36022; Q02647
Q99373	
P48363	P53900; Q04493; P52553
P53900	P48363
Q12006	
P25360	
P33203	P80210; P15274; Q08968; P06738; P33399; P30952; P39683; P10963; P39015; Q07505; P47137
P15625	P15624
P07263	
P39965	
P12612	P60010
P42883	
Q02721	P33323
P04786	
P36097	P47168
P38254	
P21734	
P23968	
Q12339	
P22543	Q05789; P08539; P22219
Q03913	
Q07655	
Q04430	
P48565	
P32612	
P32945	P36047
P38089	Q12447
P47032	
P50086	P38348; P53196; P33298
P41058	
P39516	
P38904	
P46965	P15367
P32597	P02309; P61830; P02293; Q9URQ5; P38210; P11632; P38181; Q07979; P53330
Q03954	P36131
P01098	
Q12034	
Q02774	P38084; P35206
Q00947	
P25604	Q05080; P38753; P43603; P42939; P80667; Q99176; P40343; Q02767; P32793
P32584	
P15624	P15625
P40413	
P48527	
P36100	
P38820	Itself; P40554
Q04177	P32899; Q04305; P53254; Q06679
P40055	P42945
Q12416	
P32913	P34110; Q92331; P53845; P53039
P25602	
Q3E762	
P53932	
P32841	P29467; P21651
Q08096	Q08965
P14291	P20050; Itself; Q12306
P38622	P25379
P25560	
Q99258	
P12689	P47110; P38927
P56628	
P87262	
P0CH09	
Q05937	
Q12153	Q06511
Q03497	P29366; P19073; P36006; Q04439; Q12163; P80667; P18851
P12866	P40318
P38987	P38285; P47113; P26448; P27636
P38141	
Q03525	
P39547	
Q05919	Q02948
P52917	P69771; P36108; Q04272; Itself; Q06263
P47161	
P21576	
P25579	
Q06005	
P47025	P40515
P53094	
P10962	Q06218; P39744; P38805; P34241
P32179	
P22148	
P47084	
P46982	
P36044	
Q12066	
P43558	
Q03266	
P38075	
P0CE91	
Q12038	P40020; P40357
P32580	
P38784	
P38816	P29509
P34247	
P39968	Q06628; P38881; P40003; P25591; Itself
Q12057	
P53203	
P40164	P32345; P38193; P22216; P40454; P32914; P27692
P19657	
P40091	P11710; P23201; P39523
P32903	
P14747	P25296
P35182	Q12163
Q04373	P36068
P36521	
P36526	
Q12495	P13712; P54790; P15873; P40963; Q04003
P22082	P02309; P38074; P38956; P32591
Q06217	P38203; P40070
P42933	
P40014	P40460; P33895; Q04477
P35210	
P32867	P22214; P40357; P33328
Q06010	
P32897	P42949; P39515; P53220; Q01852; Q02776
P38793	
Q03010	
P14682	Q12018
P0CE92	
Q03942	
P40212	
P40525	
P51862	
P20436	P38902; P20434; P27999; P47076; P32910; P07703; P39940
P53196	P38348; P50086; P33299; P33297; Q01939
Q06109	
P38712	
P50943	
P13433	
P38960	P32797; P38121; Q07921
P38992	
P12954	P39009; Q06148; P15873; P38953; Q12306
P04802	
P36101	
P32367	
P29055	P20434
P39961	
P39001	P21190
Q08562	
P43604	
P38293	
P38237	
Q05946	Q12220; Q02354
Q3E7B6	
P40890	
P39102	
P31115	
Q12465	
P48581	Q08949; Q02574
P10862	P06104
Q06891	
P46990	
P43607	
P38687	
Q03088	
Q08975	P39940
P33890	
P36142	
P52492	
Q04511	P52286
P25354	
Q12023	
Q03831	
Q03855	
Q12264	
P25571	
P0C5L5	
I2HB52	
P35688	
Q12405	
P07702	
P40484	P22204; P32328; P39008
P33748	
P53248	
P36093	
P39108	P38855; P50091; P27796
P32609	P38932
P40043	
P29539	P11938
P32800	Q05568; P80667; P53112
P21242	P22141; P30656; P21243
P32606	
P34222	P48510; P32628
P15380	
Q04418	
P04449	
P40993	P41812; P38336
Q04712	P32786; P40992; P13393
P53236	
P38175	
P22470	
P53036	
P32908	P36022; P40541; P17119; Q12158; P47149; P53253; Q04264; Itself; P38989; P47037; Q12306; P36094; P32558; Q9UQE7
P35207	P17883; Q02793
P00445	P40202; P23291
P40486	
P38704	
Q12427	
P46677	P35817; P23255; P50105; P53040
P38085	
P36145	
P46969	
P38902	P16370; P20436
Q05635	P53942; Q12338
Q02608	
P39940	Q07622; P80210; P36117; P47029; P18634; P53244; Q05979; P48524; Q00684; Q12734; P15202; Q08412; P54005; P53759; P38167; P00925; P36141; P06738; P32347; P53051; P00817; Q12502; P53281; P38998; P49367; P36060; P30952; Q01560; P39683; P10963; P16862; P36069; P25044; P11154; P38212; Q03446; Q00453; Q02805; P43602; P20436; P14359; Q07549; P39015; Q07748; Q08975; P43534; P23254; Q08919; Q12162; Q12472; P33296; P38081; P25561; P38835; P53108; P40892; P47137; P36140
P10662	
P32905	
P34218	P35189; Q08465
Q12234	P11076
P32605	
P38337	P38827
P47052	
P11655	
Q06058	P25587; Itself
P40511	
P53127	
P53628	
Q01684	
P40092	
P39723	
P38353	P53337; P38264; P35179
P47154	
P53873	
Q12325	
P36104	P32598; P38827
Q07395	
P38744	
P04650	
P49166	
Q02805	P39940
P25441	
P39956	
P39677	
P42847	
Q99287	Q04947; Q12402
P38810	
Q12334	P36012
P20134	
P32602	Q03322; Q08144
P18759	
P28791	P22214; P33891; P41834; P53146
P18410	P38757
Q08826	
P32558	Q04636; P32908
Q03406	Q01454; Q12488; P40359
P53538	Q01329
P20424	
Q05471	P35817; Q12692; P53201
Q03707	Q02821
P54964	
P43122	
P09938	P21524; P49723
Q08961	
P54780	
P0CX42	
P22354	
P53140	
P0CX26	
P25298	Q99383; P39081; P25299
P40042	
P40011	
P49955	Q04693; P0C074
P20048	
P35735	
P34250	
P46995	P61830
Q01589	
Q07549	P39940
P38956	P22082; P18888
Q04174	
P33338	Q12518
P50278	P32598
P53304	
P39735	P06777
Q08553	
P38985	P29478; P38688
P08425	
P47153	
P28273	
Q99216	
Q01939	P31384; P34909; P32628; P38764; P43588; P53196; P33299; P33298; P53549; P13393; P10591; P19812; P33202
P07244	
Q12036	
P13298	
P01119	
P25454	Itself; P06778; P32863; P38953
P47104	P52286; P17255; P16140; P22203; P32610
P53221	
P36534	P32387
Q04847	P52286; P36018
P46784	
P0CX32	
P25343	P39743
P40496	
P39954	P43569
P19955	P09624
P53850	
Q03919	
P40479	
P15303	Q04410; P29295; P20606; P48415; P40482; P38968; P53953; Q99394
Q08490	
Q04002	P40090
Q03529	
P53334	
P53823	
P32790	P15891; P40563; P53933; Q06604; P22137; P32525; P39013; P13134; Q12446; P43603; P25369; P54199; P32521; P25368; Itself; Q02794; P32793; P54786
Q06411	Q03654; P52868; P36118; P53131
P50263	
P39986	
Q04477	P32468; Q06324; P53159; P40460; P33895; Itself; P40014
P09937	
P39015	P33203; P39940
P38218	
Q05778	
Q04383	
P46956	P40207
P23287	P06787
P25044	P39940
P38754	
P53875	
Q06090	
P05317	P32324; P05318; P10622; P05319
P05318	P05317; P02400
P22276	
P38886	P48510; P38764; P33297
Q08723	P38348; P43588; P32496; Q12250; Q12377; Q04062
Q12167	
Q12149	P53617; P46948
P38771	
P0C0T4	
P0C0X0	
P25443	
P0CX37	
P53732	
P23833	
Q07953	P53893
Q08873	P15891
Q00711	
P36136	
P47037	P40541; Q12158; Q99359; P32908; Itself
P38128	
P46954	
P42900	P10849
P32914	P32479; P40164; P27692
P38751	
Q12074	
P32578	P12904
P42845	
P06784	Q00684; P16892; P32485; P14681; P32917
P32342	P29478
P38359	
Q12379	Q04601; Q08683; P16522
Q02875	
P19262	P20967; P09624
P53691	P02829; P32561
Q9ZZV8	
Q08742	
Q12362	
P38251	P49956; P38877; Q12050; P32641
P31334	
P32388	
Q12508	P53076
P40962	
P38429	
Q03201	
Q04487	
P38314	
P33421	
Q12507	
P21801	
P32380	P06787; P40457; P36094
P35209	
P06844	Q12060; P50875
P35177	Q12060; P32608; P38915; P38811
Q12212	
P25390	Q07084
P38262	P40480
Q08646	
P10080	
P38198	
Q06677	
P33200	
P07271	Q12306
P48567	
P40395	P16664; Q99260
P35196	
Q02326	
P19956	
Q03691	
P36070	
P0CX31	
P38786	P41812; P38336
Q03246	
P43612	P20604; Q12199
Q08986	
Q12378	
P32613	Q03660
Q02775	
P38989	P38170; P32908; Q06680
Q12216	
P41901	
P22215	
Q06134	
Q04053	P47057
P40072	P32828
Q06315	
Q05676	
P06701	P11938; Itself; P11978
P36024	P36076; P26570; Itself; Q08438
P21691	P54784
