Entry	Interacts with	Cross-reference (STRING)
Q3E772		4932.YGR169C-A;
Q04472		4932.YMR115W;
P46985	P32629; P47124; P50108	4932.YJL183W;
P32340	Itself	4932.YML120C;
Q03661		4932.YMR219W;
P53337	P38353	4932.YGR284C;
P0CX11		
P12385	Q03195; P05453	4932.YBR143C;
P62651		4932.YPL096C-A;
P38289		4932.YBR163W;
P40491		4932.YIL098C;
P40039		4932.YER060W;
Q04433		4932.YDR534C;
P45976	P29468; Q01329; Q06102	4932.YJR093C;
Q03557		4932.YMR293C;
P18852	P18851	4932.YJR086W;
Q05926		4932.YLR364W;
Q12344	P43603; P39743; P32793	4932.YPL249C;
Q12180		4932.YOL089C;
P39982		4932.YEL059W;
Q04344		4932.YDL125C;
Q08118		4932.YOL015W;
Q06505	P23615	4932.YPR133C;
Q08227		4932.YOL065C;
P43615		4932.YFR043C;
P32645		4932.YER180C;
P28239		4932.YMR267W;
P28743	P33419	4932.YPL155C;
P47069	P06704; Q08955; P36049; P43605; P17214; Q12692; P40358; P53159; Q12366; Q08746	4932.YJL019W;
P38857	P53157	4932.YHR162W;
P34234		4932.YKL183W;
P30665	P32354; P29469; P53091; P38132; Q12488; Q12306	4932.YPR019W;
P38880		4932.YHR194W;
P47077		4932.YJL010C;
P23493		4932.YKL093W;
P10659	P19358	4932.YLR180W;
Q12205		4932.YLR057W;
P40578		4932.YIR033W;
P40562	Q08204	4932.YIR002C;
P39106		4932.YER001W;
Q03677		4932.YMR009W;
Q00539		4932.YHR086W;
P25566		4932.YCL033C;
Q05777		4932.YLR194C;
P32831		4932.YBR212W;
P47096		4932.YJR025C;
P54783		4932.YML086C;
P36117	P39940	4932.YKR021W;
P50076		4932.YGR227W;
P52910		4932.YLR153C;
P32789		4932.YBL009W;
Q99186		4932.YOL062C;
P53314		
P53923	P53088	4932.YNL119W;
P49956	P38877; P43605; P40348; P38629; P40339; P38251	4932.YMR078C;
Q01454	Itself; Q08496; Q06164; P13382; Q12488; Q03406	4932.YPR135W;
P40442		4932.YIL169C;
Q06686		4932.YLR411W;
P53008		4932.YGL027C;
P53137		4932.YGL110C;
P40564		4932.YIR004W;
P40566		4932.YIR007W;
P32835	P43583; P25300; P53067; O94258	4932.YLR293C;
Q06629	P53973; Q06623	4932.YDR295C;
P53901	Q05080; P80667; P40073	4932.YNL152W;
P39005		4932.YJL174W;
P40480	P38262	4932.YIL112W;
P39979		4932.YEL066W;
P40481		4932.YIL110W;
P38284		4932.YBR157C;
P39730		4932.YAL035W;
P19358	P10659	4932.YDR502C;
P25642		4932.YCR071C;
P21190	P38615; P39001	4932.YJR094C;
P28241	P28834	4932.YOR136W;
Q03020	P53193; P25374; Q05931; Q07540	4932.YPL135W;
Q12350		4932.YPR061C;
P40002		4932.YEL007W;
P53877	P38883	4932.YNL182C;
P54070		4932.YPL053C;
P33399	P33203	4932.YDL051W;
P25045	P40970; P53224; Q06144	4932.YMR296C;
Q12246		4932.YOR171C;
P25369	P40994; Q12446; P32790	4932.YCL034W;
P38304	P13393; P32569; P32585	4932.YBR193C;
P36051		4932.YKL165C;
P38999		4932.YNR050C;
P0CW41		
P25338		4932.YGL010W;
P53059		4932.YGL257C;
P36006	P40563; P47068; Q01389; P41832; P40450; Q12446; Q12451; P33334; P39955; Q03497; P40453; P37370; Q08912	4932.YKL129C;
Q03429		4932.YDR493W;
Q12374		4932.YPR155C;
P38861		4932.YHR170W;
Q06178	Itself; P53204	4932.YLR328W;
P47149	P39731; P39946; P32908	4932.YJR112W;
Q99382		4932.YLR065C;
Q12125	Q12154; Q12285; P22214; Q12118	4932.YOR164C;
Q06625		4932.YPR184W;
P49095		4932.YMR189W;
Q12390		4932.YLL060C;
Q02516	P06774	4932.YOR358W;
P06174		4932.YOR278W;
P25619		4932.YCR021C;
P53096	P14922; P61830	4932.YGL194C;
P38074	P53741; P22204; Itself; P47047; P32505; Q01560; P23595; P22082; P24276; P46676	4932.YBR034C;
P38217	P38333; Q99383; P32505; P41896	4932.YBR017C;
P50095	Itself; P50094	4932.YLR432W;
Q12425		4932.YPR067W;
P43614		4932.YFR042W;
P24279	P25651; P29496; P38132; Q12306	4932.YEL032W;
P40513		4932.YIL070C;
P40958	P26449; P26309; P40957; P47074	4932.YJL030W;
P41910	P04051	4932.YDR005C;
P33441	O13539	4932.YML062C;
P38172		4932.YBL095W;
Q08641		4932.YOR239W;
P47015		4932.YJL131C;
Q01217		4932.YER069W;
P33313	P47103; P15108; P02829	4932.YBR155W;
P48235		4932.YGR146C;
P41811	P53622; P02829; P40509	4932.YGL137W;
P35195		4932.YBL001C;
Q04623		4932.YDR125C;
Q02710		4932.YPL021W;
Q04659	P53840	4932.YMR048W;
P47027	Q04377; P38111; P14737; P34252; P53135; Q12098	4932.YJL090C;
P24482	P21951	4932.YPR175W;
P27344		4932.YBR278W;
Q04603	P40366	4932.YDR121W;
Q06337	P53201	4932.YDR359C;
Q12432	P39995; Q08649; P22579	4932.YPR023C;
P39995	Q12432	4932.YEL018W;
P42842		4932.YNL313C;
Q08299		4932.YOL158C;
P38333	P36009; P32899; P53941; P38217; P25586; P15646; Q99207; Q12481; P53251; Q06078; P53254	4932.YBR247C;
P39013	P32521; P32790	4932.YNL084C;
P53344		4932.YGR295C;
P47143		4932.YJR105W;
Q08548		4932.YOR175C;
P39010	P18851	4932.YDR264C;
Q02804		4932.YPL051W;
P19146	P11076	4932.YDL137W;
P38316	Q03818; Q12380	4932.YBR217W;
P38328	Q05933; P33204; P53731; P32381; P47117; Q12446; Q04439	4932.YBR234C;
Q12292	P22855; Q12527; P38182; P29295	4932.YOL083W;
Q12048		4932.YPL250C;
P38636		4932.YNL259C;
Q12349		4932.YLR295C;
P26448	P47113; P38785; P38987	4932.YMR055C;
P09798	P53068	4932.YKL022C;
P25656	P39524	4932.YCR094W;
P47167	Q12748; Q12262	4932.YJR135C;
P40452	P39103; P32335; P53266	4932.YIL157C;
P40433	P11484	4932.YIL107C;
P32357	P33334; P36048	4932.YBL074C;
P23180		4932.YHL021C;
P38872	P40555	4932.YHR185C;
Q04601	Q08683; P40577; Q12379	4932.YDR118W;
P36090		4932.YKL047W;
P53296		4932.YGR177C;
P40353		4932.YOR377W;
P54074	P53983	4932.YMR119W;
Q12380	P38316; Q03818	4932.YPL149W;
P48361		4932.YGR097W;
Q12500		4932.YLR114C;
Q12233		4932.YPR020W;
Q12359		4932.YDR384C;
Q03783		4932.YDR241W;
P53755		4932.YNR069C;
Q08754	P11076; Q05029; Q12114; P40955	4932.YOR299W;
P53858	P32598; P02829	4932.YNL233W;
P39011		4932.YPL161C;
Q12127		4932.YLR110C;
P19073	Q99299; P29366; P11433; Q12434; Q03497	4932.YLR229C;
Q03705	P53323	4932.YML036W;
Q05924	P32361	4932.YLR361C;
P32463		4932.YKL192C;
P43553		4932.YFL050C;
P54114		4932.YMR169C;
Q12028	P36000; P35181	4932.YPR029C;
P16550		4932.YCL050C;
P40527	Q03921	4932.YIL048W;
Q06596		4932.YPR199C;
P00856		4932.Q0080;
P38176		4932.YBL089W;
P50944		4932.YNL101W;
P53630		4932.YNR057C;
P48524	P26783; P39940	4932.YMR275C;
P47039		4932.YJL060W;
Q12365	P53159; P33419	4932.YPL255W;
Q06150	P52286	4932.YLR267W;
P38772		4932.YHR040W;
P21560	P07253; P36517	4932.YPL215W;
Q06549	Itself	4932.YLR245C;
P53197	Q08981	4932.YGL003C;
P53550	Q12517; P39998; P25644	4932.YNL118C;
P25612		4932.YCR107W;
P32858		4932.YKL037W;
P46680	P60010	4932.YMR092C;
Q12433	P25649	4932.YOR023C;
P18239		4932.YBL030C;
P36973		4932.YDR441C;
P00812	P05150	4932.YPL111W;
P0CD90		4932.YLL052C;
Q06822		4932.YPR085C;
P38929	P38310	4932.YGL006W;
Q03153		4932.YMR098C;
Q12191	Itself; Q04410	4932.YDL099W;
P53934		4932.YNL092W;
P32798	P38310	4932.YOR316C;
P07143		4932.YOR065W;
P31383		4932.YAL016W;
P03876		4932.Q0055;
P03875		4932.Q0050;
P54115		4932.YPL061W;
Q07988		4932.YLR040C;
P53940	P10591; P10592	4932.YNL077W;
P15274	P33203	4932.YML035C;
P05085		4932.YML099C;
P38986		4932.YDR321W;
P53895		4932.YNL159C;
Q05789	P38270; Itself; P22543	4932.YLR211C;
P32907		4932.YNR002C;
Q08965	Q08096	4932.YPL217C;
P53838		4932.YNL275W;
P12962	P07260	4932.YOR276W;
P37366	P06242; P17157	4932.YPR025C;
P32458	Itself; P32468; P38785; Q06648; Q12263; Q07657	4932.YJR076C;
P31384	P53829; P25655; P34909; P39016; P39008; Q01939	4932.YAL021C;
Q08223		4932.YOL053W;
Q07747		4932.YDL243C;
P60010	Itself; P46680; Q03048; Q06440; P02829; Q12446; P07274; P39743; P32599; P17555; P12612; P0A6F5	4932.YFL039C;
P38113		4932.YBR145W;
P40532		4932.YIL040W;
P04076		4932.YHR018C;
P38115		4932.YBR149W;
P32660	Itself; Q12675; P53739; P42838	4932.YER166W;
P53731	Q05933; P33204; P38328; P32381	4932.YNR035C;
P38077		4932.YBR039W;
P32839		4932.YDR375C;
P17555	P15891; P60010; P08678; P14126; Itself; P02994; P53250	4932.YNL138W;
P27825		4932.YAL058W;
P37267		4932.YGR174C;
P25694	P53741; Itself; P38307; P36037; Q08109; Q05787; P33755; P32628; P06778; P34223; Q12306; P40318; Q01477; Q04228; Q12229; P54730; Q06682; P47049; P38349; P53044; P54860; Q04311	4932.YDL126C;
P38147	Q00684	4932.YBR274W;
P47029	P39940	4932.YJL084C;
P19880	P25296; P38315	4932.YML007W;
P14843		4932.YDR035W;
P35183		4932.YBL069W;
P32447	P02309; P61830; P32479; P22216; P40161; P40963; Q04003	4932.YJL115W;
Q8TGM7		4932.YLR154W-A;
Q12226		4932.YLL063C;
P38110		4932.YBL088C;
P85052		4932.YER014C-A;
Q12291		4932.YLR063W;
P33322	P53919; P32495	4932.YLR175W;
P15202	P39940	4932.YDR256C;
P05374		4932.YGR157W;
P16522	P40577; Q12379	4932.YHR166C;
P38221		4932.YBR029C;
P53280	P29366; P25655	4932.YGR134W;
P47001		4932.YJL158C;
P39103	P40452; P32335	4932.YML129C;
P10869	P20081	4932.YER052C;
P47771		4932.YMR170C;
P53933	P15891; P47068; P38822; Q05080; P53281; P43603; Q04439; P80667; Q06449; P39743; P32790; P32793	4932.YNL094W;
Q06497		4932.YPR128C;
P40024		4932.YER036C;
P01097		4932.YDL181W;
Q05123	Q12406	4932.YMR033W;
Q06597		4932.YPR200C;
P40471		4932.YIL124W;
P22135		4932.YJL180C;
P32639	Itself; P33334; P36048	4932.YER172C;
P38278		4932.YBR141C;
P38813		4932.YHR101C;
P35817	Q07442; P61830; Q12692; Q05471; P46677; Q03761; P53040; Q05021; Q03433; P53930	4932.YLR399C;
Q03630	P36149	4932.YML077W;
P39713		4932.YAL061W;
P25296	P14747; P19880	4932.YKL190W;
P47158		4932.YJR122W;
Q03654	P25337; Q12309; Q03772; P38302; P32523; Q06411; Q04048; P53277	4932.YMR213W;
Q12018	P14682; P07834; Q12395; P24814; Q08273; Q92325; P39014; P38352; P52286	4932.YDL132W;
Q06632	P35728; P29468	4932.YDR301W;
P29465		4932.YBR023C;
Q06139		4932.YLR346C;
Q12309	Q03654; P21374; P38302; P32523; Q06091; Q04048; P53277	4932.YLR117C;
P53968		4932.YNL027W;
P22580		4932.YDR242W;
P19414		4932.YLR304C;
P12904	P32578; P34164; P06782; Itself; P25575	4932.YGL115W;
P36154		4932.YKR074W;
P32375		4932.YIR027C;
P16639		4932.YGL017W;
P28777		4932.YGL148W;
P38182	P53104; P35193; P40344; Q12292; Q06159; P53867; Q99325; P38862; P22804; Q08412; Q14596; Q13501	4932.YBL078C;
Q06485		4932.YLR356W;
P41696		4932.YOR113W;
Q99177		4932.YPR057W;
P29311	P34730; P32356; Q96B36	4932.YER177W;
P32451		4932.YGR286C;
Q08004		4932.YLR074C;
P39969	P29366; P40077; P40020; Q03780; P40095	4932.YER114C;
P53223		4932.YGR036C;
P47818		4932.YLR220W;
P06704	Itself; P47069; P46674; Q12369; Q6WNK7; Q08231	4932.YOR257W;
P00431	P00044	4932.YKR066C;
Q04410	Q12191; P15303; P40482	4932.YDR517W;
P38431	P32481; P32497; P20459	4932.YPR041W;
P16523		4932.YNL210W;
Q06554		4932.YLR247C;
P47135		4932.YJR091C;
P20485	P25293	4932.YLR133W;
P38063	P32895; Q12265	4932.YBL068W;
Q08218		4932.YOL047C;
Q99278	P32569; P32570	4932.YMR112C;
P25046		4932.YBL093C;
Q01159	O13297	4932.YGL130W;
Q06567		4932.YLR253W;
P38633	Q12321; Q06213; P32569; P47822	4932.YGL127C;
P38782	P32569	4932.YHR058C;
Q08601		4932.YOR197W;
P38132	P25651; P53199; P24279; P30665; Q12306	4932.YBR202W;
P40850	P53297	4932.YNL085W;
P36027	P25623; Q08245	4932.YLR332W;
P29952		4932.YER003C;
P38996	P53617; Q00416	4932.YPL190C;
P42846	P25586	4932.YNL308C;
P50112		4932.YDL049C;
P31379		4932.YAL018C;
P38210	P32597	4932.YBL006C;
Q04377	P47027; P38111	4932.YDR499W;
Q07508		4932.YDL087C;
P43564		4932.YFL034W;
P40081		4932.YER134C;
P41940		4932.YDL055C;
P0CD99		4932.YDL247W;
P14908		4932.YMR228W;
Q03825		4932.YMR164C;
P38236	P41833	4932.YBR057C;
P53914	Q05022	4932.YNL132W;
Q04751		4932.YMR069W;
Q03674		4932.YMR006C;
Q00402	P40075; P09734	4932.YDR150W;
Q02199	Q06142; P34077; Itself; P48837	4932.YGL172W;
P40368	P14907; Q02630; P40477	4932.YJL061W;
P32332		4932.YKL120W;
Q99297		4932.YOR222W;
P38787		4932.YHR063C;
P38131		4932.YBR199W;
Q04087	P32562; P06243; P25651	4932.YDR439W;
P43603	P15891; Q12168; P47129; P38090; P40563; P38266; P53933; Q06604; P09119; Q12510; Q08412; P38140; P40956; Q04322; Q12344; P40325; Q12446; Itself; P33400; P53118; P32855; P32790; P53955; P25604; P40453; P53169; P38870; P32793	4932.YFR024C-A;
P38157		4932.YBR297W;
P39692		4932.YFR030W;
P47083	Q06631; Q04217; Q03532; P32899; P53941; Itself; Q99207; Q12136; P42945; P53254; P40498; Q02354; P53276	4932.YJR002W;
P39943		4932.YER028C;
P34232	Q99257	4932.YKL186C;
P42939	Q99176; P25604	4932.YGR206W;
P43619		4932.YFR047C;
P53920		4932.YNL123W;
P39683	P33203; P39940	4932.YOR209C;
P53164		4932.YGL067W;
P34909	P53829; P31384; P06100; P25655; Q12514; P39008; Q01939; P15731	4932.YER068W;
P14743		4932.YLR195C;
P39682		4932.YML046W;
P53718		4932.YNR009W;
Q05541	P43124; Q08204	4932.YDR288W;
P32767	Q12363	4932.YGL016W;
P53125	Q08773	4932.YGL133W;
P40006		4932.YEL001C;
P36005		4932.YKL161C;
Q12502	P39940	4932.YOR322C;
Q02205	Q00582; P38247	4932.YKR007W;
Q12171		4932.YOR147W;
Q03455	P53735	4932.YDR205W;
P35719	P53252	4932.YKL142W;
P38849		4932.YHR151C;
Q08229	Q99299; P29366; P38041; P11433; P53939; P32793	4932.YOL070C;
Q04439	P40563; P53933; P38328; P47068; Q01389; P40450; P38822; Q00362; P48562; P06787; Q12446; Itself; Q12451; P32521; Q03306; P33334; P39743; P39955; Q03497; P40453; P37370; Q08912; P40021	4932.YMR109W;
P40165		4932.YNL200C;
Q07623		4932.YDL213C;
Q08287	Q08962; P34241	4932.YOL144W;
P32838		4932.YNR032W;
P13185	P32944	4932.YDR122W;
Q03579	P28496; P38703	4932.YMR298W;
P38828	P53297	4932.YHR121W;
P32569	Q99278; P38782; P38304; P38633; P32570	4932.YER022W;
Q08268		4932.YOL119C;
Q02574	Q08949; P48581; P38927; P38827	4932.YLR288C;
P40185		4932.YIL051C;
Q04533		4932.YML082W;
P32389	P40573; P39014	4932.YNL103W;
Q03218		4932.YMR177W;
P07266		4932.YIR021W;
P35728	Q06632	4932.YKL059C;
P13712	Q04199; Q12495	4932.YBR195C;
P53896		4932.YNL158W;
Q03264		4932.YMR285C;
P39744	Q08235; Q12389; P36049; Q04660; Q03532; P43586; P10962; Q12176; Q07896; Q08208; P37838; P53261; P40078; P40693; P38805; P36160; P35178; Q05022	4932.YOR206W;
P32494	Q02336; Q12060; P25554; P38915; P38811	4932.YDR176W;
P40991	Q02892	4932.YNL061W;
P40010	P43586; P37838; P36160	4932.YER006W;
P53397		4932.YML060W;
P38853	P33306; Itself; P50090; P07866; P39946	4932.YHR158C;
P53150	Q08387; Q06148	4932.YGL090W;
P38620		4932.YER099C;
P32487		4932.YNL268W;
P40089	P47017; P38203; Q06406	4932.YER146W;
P33308		4932.YNR010W;
P38341		4932.YBR262C;
P25573	P32795	4932.YCL044C;
P38888	P17967	4932.YHR204W;
P07884		4932.YOR274W;
P38191		4932.YBL049W;
P38590		4932.YNL053W;
Q12317		4932.YOL112W;
P53070		4932.YGL236C;
Q02866		4932.YPL070W;
P16603		4932.YHR042W;
P53939	Q99299; P25293; Q08229	4932.YNL078W;
Q12460	P15646; P39990	4932.YLR197W;
P11633		4932.YBR089C-A;
P32495	P33322; P28007; P53919	4932.YDL208W;
P33331		4932.YER009W;
P38794	P17157	4932.YHR071W;
P38212	P39940	4932.YBR005W;
P30605		4932.YDR497C;
Q07532		4932.YDL115C;
P53153	P40073	4932.YGL085W;
Q07799		4932.YLL007C;
Q08777		4932.YOR306C;
Q12124		4932.YDL005C;
Q12019	P25382	4932.YLR106C;
P53051	P39940	4932.YGR287C;
Q06436		4932.YLR427W;
P36066		4932.YKL133C;
Q02046		4932.YKR080W;
Q08689		4932.YOR253W;
P32377		4932.YNR043W;
Q03210		4932.YML118W;
P22211	P15442; P06782; P35169	4932.YNL183C;
P25655	P53280; P53829; P31384; P06100; P34909; P06102; Q12514; P39008	4932.YCR093W;
P53081		4932.YGL221C;
Q08208	P43586; P38112; P39744; P37838; P53131	4932.YOL041C;
P31378		4932.YAL015C;
Q92316		4932.YGL226C-A;
Q03028		4932.YPL134C;
P41816	Q03558	4932.YPL171C;
P35845		4932.YAR042W;
P53318		4932.YGR255C;
P00044	P00431	4932.YJR048W;
P32898		4932.YDR430C;
Q12429		4932.YLR143W;
P47133	P80967	4932.YJR088C;
P53200		4932.YGR001C;
Q00582	Itself; P53290; Q02205; P38247	4932.YML121W;
P32769	P33309	4932.YKR084C;
P24814	Q12018; P52286	4932.YJR090C;
P10961		4932.YGL073W;
P31539	Itself; Q12285	4932.YLL026W;
P20459	P32481; P38431	4932.YJR007W;
P40051		4932.YER078C;
P52489		4932.YOR347C;
Q04431	P53148	4932.YDR532C;
P48439	Q99380	4932.YOR085W;
P40219	P53756	4932.YMR148W;
P07264		4932.YGL009C;
P25587	Q06058	4932.YCL005W;
P38800		4932.YHR080C;
Q06508		4932.YPR139C;
P22855	Q12292	4932.YGL156W;
Q02889		4932.YPL098C;
Q06580	P08964	4932.YPR188C;
P53050		4932.YGR249W;
P11914	P10507	4932.YHR024C;
P10566		4932.YJL133W;
P23641		4932.YJR077C;
P47018		4932.YJL123C;
Q8TGN9		4932.YGR031C-A;
Q08887		4932.YOR372C;
Q12207		4932.YPR149W;
P52920	P40558	4932.YGL091C;
P36052		4932.YKL162C;
P54791	P54784; P54790; P50874	4932.YPR162C;
Q03937		4932.YDR014W-A;
P50942	P15891; Q06604	4932.YNL106C;
Q03694	P28795	4932.YMR204C;
P05986	P07278	4932.YKL166C;
Q07980	P38920	4932.YLR035C;
P40965	Q12175	4932.YFL003C;
P52918	P07270	4932.YDR335W;
P38694		4932.YHR039C;
Q06568		4932.YLR254C;
P23059		4932.YCR020C-A;
P48234	Q06631; P20448	4932.YGR145W;
Q12514	P53829; P06100; P25655; P34909	4932.YPR072W;
P34227		4932.YBL064C;
Q05549		4932.YDR291W;
Q06592	Itself	4932.YPR193C;
Q12522	P53145; P53742	4932.YPR016C;
P39522		4932.YJR016C;
Q06406	P47017; P38203; P40070; P40089; P47093	4932.YDR378C;
Q01662		4932.YLR244C;
Q12285	Q12154; Q12125; P31539; P22214; Q12118; P25491	4932.YOL111C;
P20484	Q06511	4932.YKL021C;
P53091	P32354; P30665; Q12306	4932.YGL201C;
P35191		4932.YFL016C;
P03879		4932.Q0120;
P38156		4932.YBR298C;
P53152	P52490	4932.YGL087C;
P10507	P11914	4932.YLR163C;
P39016	P31384; P39517; P39008	4932.YGL178W;
P33201		4932.YKL009W;
Q03151		4932.YMR097C;
Q08444		4932.YOR056C;
P53204	Q06178	4932.YGR010W;
Q03125		4932.YDR043C;
Q02207		4932.YKR009C;
P15442	P29295; P22211	4932.YDR283C;
Q12434	P19073	4932.YDL135C;
Q03835	P22149; P53323	4932.YDR098C;
P02294		4932.YBL002W;
P53258		4932.YGR100W;
Q03532	Q12389; Q04660; P53743; Itself; P20448; P43586; Q12176; P38112; P47083; P39744; Q02892; P53927; P37838; P40078; P40693; Q12481; Q12136; P53866	4932.YMR290C;
P02309	P32447; Q08649; Q06205; P61830; Q12373; P36124; P38890; P22082; P32597; Q9H7Z6	4932.YNL030W;
P16622		4932.YOR176W;
P53685		4932.YOL068C;
P53389		4932.YNR055C;
P47119		4932.YJR069C;
P47056		4932.YJL037W;
P46673	Q02629; Q02630; P35729; P49687; P53011; Q8WUM0	4932.YJR042W;
P53252	Q05050; Q12230; P35719; Q03407	4932.YGR086C;
P05375		4932.YJR073C;
Q06892		4932.YPL188W;
Q03880		4932.YMR123W;
P23594	P38796; Q12461; Q04372	4932.YDL134C;
P34221	Q12447	4932.YBL056W;
P39966	Q12447	4932.YER089C;
P39105		4932.YMR008C;
P38801		4932.YHR081W;
Q08278	Q12321; Q12343; Q06213; P47822	4932.YOL135C;
P0CW40		4932.YJL221C;
P23060		4932.YCR019W;
P03873		4932.Q0110;
P50113		4932.YGL154C;
Q05930	P46972; P52286	4932.YLR368W;
P47035	Q00684; P00572; P53131; Q02208	4932.YJL076W;
P08466		4932.YJL208C;
P40545		4932.YIL020C;
Q12276	P32598	4932.YOR227W;
P41809		4932.YDR420W;
P28627		4932.YMR150C;
P32337		4932.YMR308C;
P38860		4932.YHR168W;
P53317	P36009; Q12136	4932.YGR251W;
P20676	Q06142	4932.YOR098C;
Q07418		4932.YDL065C;
Q12245	Q07951; P40302; P32379	4932.YPL144W;
P36081		4932.YKL077W;
Q02771		4932.YER058W;
P39006		4932.YNL169C;
P11927		4932.YNL188W;
P23292	P23291	4932.YNL154C;
Q07887		4932.YLL049W;
P34078	P40160; P05750	4932.YKL143W;
P53846	P47118	4932.YNL260C;
P53869		
Q05473		4932.YDR336W;
P0CY06	P13574	
P52919	P40069; P53159	4932.YLR457C;
P53883	P37838	4932.YNL175C;
Q02892	Q04660; Q03532; P43586; Q12176; P40991; P37838; P53261; P53136; P40078; P40693; P36160; P0C2I0; P05736; P26321	4932.YPL093W;
P40550		4932.YIL013C;
P33401		4932.YKL127W;
P39008	P53829; P31384; P25655; P39517; P40484; P34909; P39016	4932.YNR052C;
P40968	P32523	4932.YDR364C;
Q04049	P15873	4932.YDR419W;
Q00723		4932.YGR075C;
Q02733		4932.YPL017C;
Q08416		4932.YOR044W;
Q06324	Q04477	4932.YLR190W;
P47007		4932.YJL147C;
P35724		4932.YKL064W;
P53176	P39552	4932.YGL051W;
P50276		4932.YGR055W;
Q03162	Q03465; Q07963	4932.YMR100W;
P40215		4932.YMR145C;
P53259		4932.YGR101W;
P40459		4932.YIL145C;
Q02820		4932.YJL205C;
P38205		4932.YBL024W;
Q06148	P53150; P12954	4932.YLR265C;
P53898		4932.YNL156C;
P37304	Q03306	4932.YDR251W;
Q12202		4932.YLR054C;
P38755		4932.YHR001W;
P24004	P33760	4932.YKL197C;
P40345		4932.YNR008W;
P53860	Itself	4932.YNL231C;
P42934		4932.YGR199W;
P52867	P31382	4932.YDL093W;
P53037	P53844	4932.YGR170W;
P36004		4932.YKL168C;
P09620		4932.YGL203C;
P47017	P39517; P38203; P57743; P40070; P40089; Q06406; P25644	4932.YJL124C;
P18408		4932.YPR167C;
Q06630		4932.YDR296W;
Q03920	P53738	4932.YDR140W;
P32500	Q05166	4932.YML031W;
P25293	Q99299; P20485; Q12263; P04911; P25389; Itself; P53939; P38615; Q07794; Q08921	4932.YKR048C;
P32505	Q04839; P38074; P38217; Q02455	4932.YGL122C;
P32492	P36068; P38272; P51534	4932.YAL029C;
Q12129		4932.YLR363C;
Q04493	P48363; P52553	4932.YML094W;
P00950		4932.YKL152C;
Q12499	P15646; Q05022	4932.YOR310C;
P23595	P38074; Q04372	4932.YDL188C;
Q04119		4932.YDR452W;
Q03435	P43579; P40060; P53115	4932.YDL002C;
P05150	P00812	4932.YJL088W;
P32833	P54790; P50874; P38826	4932.YBR060C;
P38873	P38691; P41318; P35169	4932.YHR186C;
P38702		4932.YHR002W;
P32895	P38689; P38063; Q12265	4932.YKL181W;
Q99257	P17629; P34232; Q02630	4932.YPL169C;
P25588	Q08032; Q08496; P32485; P53840	4932.YCL061C;
P40050		4932.YER077C;
P50873		4932.YDL079C;
P53919	P33322; P32495	4932.YNL124W;
P40360		4932.YJL071W;
P23503	Q05583	4932.YNL240C;
P19524	Q03824; P32526; P53141; P51534; P25591	4932.YOR326W;
P38798	P48412	4932.YHR077C;
P47016		4932.YJL126W;
P33755	P25694; P53044	4932.YBR170C;
P33400	P43603; Q12033; P32793	4932.YHL027W;
P40186	P17157	4932.YIL050W;
P15873	P43605; Q12050; P32354; Q03834; Itself; P47110; P26793; Q04049; Q12495; Q12306; P12954; P12887	4932.YBR088C;
Q03446	P39940	4932.YDR003W;
Q06644		4932.YDR307W;
P38203	P39517; P47017; P57743; P40070; P40089; Q06406; P53905; P47093; P25644; Q06217	4932.YBL026W;
P38998	P39940	4932.YIR034C;
P40577	P53886; Q12440; Q04601; Q08683; P16522	4932.YIR025W;
Q3E7Y6	P47134; P38283	4932.YHR199C-A;
Q92317	P40096	4932.YDR397C;
Q08485		4932.YOR071C;
P52960		4932.YOR363C;
Q08760		4932.YOR301W;
Q00618	P20133	4932.YJL031C;
Q08959		4932.YPL206C;
P41812	P53833; P38336; P53218; P38291; P38786; P40993	4932.YNL221C;
Q03178		4932.YKL164C;
Q03180		4932.YKL163W;
P40494	P15891; P80667	4932.YIL095W;
P38922		4932.YNL004W;
P29295	P35193; Q12292; P15442; Itself; P40065; P36003; P15303	4932.YPL204W;
P25605		4932.YCL009C;
P53897		4932.YNL157W;
P46958		4932.YJL146W;
P23291	P00445; P19812; P23292	4932.YHR135C;
P36007		4932.YKL218C;
Q06213	Q08278; P19263; P38633	4932.YPR168W;
P08536		4932.YJR010W;
Q03079		4932.YPL041C;
P38122		4932.YBR176W;
Q12447	P39966; P34221; P38089	4932.YDR071C;
P32567		4932.YMR165C;
Q12462		4932.YOL147C;
P38796	P23594	4932.YHR075C;
P47033		4932.YJL078C;
Q04004		4932.YDR183W;
P38009	P54113	4932.YMR120C;
P15179		4932.YPL104W;
P36167		4932.YKR091W;
P38854		4932.YHR159W;
P36421	P32566	4932.YGR185C;
P47183		4932.YJR156C;
P07284		4932.YDR023W;
P29056	P13393	4932.YGR246C;
P53322		4932.YGR260W;
Q06672		4932.YLR435W;
Q12383		4932.YOL125W;
P22803		4932.YGR209C;
P40537		4932.YIL031W;
Q12151		4932.YDR213W;
P0CG63	P40087; P48510; P48365; P32628; P00358	4932.YLL039C;
P53874		4932.YNL186W;
P25037		4932.YDL122W;
Q06339		4932.YDR362C;
P40462		4932.YIL137C;
Q07921	P38960	4932.YLR010C;
P40308		4932.YMR313C;
Q12400		4932.YOL093W;
Q06417		4932.YLR426W;
Q04411		4932.YDR520C;
Q02159		4932.YMR022W;
P15732		4932.YDR059C;
P0C5L2		
