Entry	Interacts with	Cross-reference (STRING)
Q08285	P53859; Q08162; P46948	4932.YOL142W;
P40204	Q12330	4932.YFL017W-A;
Q02950		4932.YPL118W;
P50110	P14693; P53969	4932.YMR060C;
Q04003	P32447; Q12495; P40963; Q99314	4932.YDR181C;
P39742	P14906; P33754	4932.YLR292C;
P08458		4932.YDR523C;
Q3E752		4932.YPR036W-A;
P40472		4932.YIL123W;
Q12078		4932.YLR034C;
P40317		4932.YDR006C;
P06843		4932.YER161C;
P23615	Q06505; P27692	4932.YGR116W;
P53250	P17555; P68135	4932.YGR080W;
P38114		4932.YBR150C;
P38851		4932.YHR155W;
P26188	P39009; P19812; P33202	4932.YDL200C;
P47085		4932.YJR008W;
Q12467		4932.YPL168W;
P33749		4932.YKL062W;
P38335		4932.YBR255W;
P34246		4932.YKL098W;
Q02642	P38879	4932.YPL037C;
Q02795	P41543; Q99380; P32915; P35179; P33767	4932.YMR149W;
Q12451	P36006; Q04439	4932.YDL019C;
Q04673		4932.YLR005W;
Q04175		4932.YDR395W;
P32911		4932.YNL244C;
Q02794	P32790	4932.YOR047C;
P46678		4932.YNL039W;
P48837	Q06142; P34077; P14907; Q02629; Q02630; P49686; Q02199; Itself	4932.YGR119C;
P43611		4932.YFR039C;
Q08952		4932.YPL196W;
P41909	P11076; P34230	4932.YPL147W;
P25301	Q06032; P38953	4932.YDR004W;
Q03956		4932.YDR202C;
P35997		4932.YKL156W;
P14127		4932.YDR447C;
P13856		4932.YGR152C;
P32902		4932.YHL004W;
Q04947	Q99287; P03588	4932.YDR233C;
Q08963		4932.YPL213W;
P47166		4932.YJR134C;
P33754	P32915; P14906; P39742	4932.YBR171W;
P32432	P32864	4932.YLR403W;
P23201	P40091	4932.YLL021W;
P06782	Q00684; Q04739; P22211; Q00816; P38232; P34164; Itself; P12904	4932.YDR477W;
P08459		4932.YDR522C;
P17123		4932.YHR152W;
P43545		4932.YFL059W;
P32900		4932.YHR149C;
Q12306	P32797; P25694; Q12050; P29469; P24279; P30665; P29496; P53091; P38132; P43124; P07271; P15873; P06778; P14291; P35187; P32908; Q08204; Itself; P12954; P52488; P50623; P53044; P32807; Q04437	4932.YDR510W;
P34252	P47027	4932.YKL108W;
P31377		4932.YAL014C;
Q06688		
P38326		4932.YBR231C;
P32263	Itself	4932.YER023W;
P42836		4932.YNL326C;
P53835		4932.YNL279W;
P28708		4932.YKL116C;
P0CX46		
P0C2H8		4932.YDL075W;
P38805	P10962; P38112; P39744	4932.YHR088W;
P36121		4932.YKR025W;
Q12250	Q03981; P43588; P40016; Q12377; Q08723; Q04062	4932.YDL147W;
P32786	Q04712; P40992	4932.YBL014C;
P46948	P53859; Q08162; P48240; P38792; Q08285; Q12277; P25359; Q05636; P53256; Q12149	4932.YGR195W;
Q08219		4932.YOL048C;
P38961		4932.YDR083W;
P38192		4932.YBL048W;
P39938		4932.YGL189C;
P06367		4932.YCR031C;
P0CX38		
P0CX35		4932.YJR145C;
Q12464	P38768; Q03940; P13393; P53201	4932.YPL235W;
P39743	P15891; Q12168; P47129; P60010; P38266; P53933; Q06604; P38140; P40956; Q04322; Q12344; Q12446; Q04439; Q06833; P25343; Itself; P32855; P37370; Q03780	4932.YDR388W;
P47141		4932.YJR101W;
P17121		4932.YDR389W;
P40188		4932.YIL057C;
P26784		4932.YIL133C;
P17076		4932.YHL033C;
P38330		4932.YBR238C;
Q03465	Q03162; Q07963	4932.YDL020C;
Q06103	P40016; O94742	4932.YPR108W;
P40470		4932.YIL127C;
P25380		4932.YCL048W;
P47057	Q06410; Q07528; Q04053	4932.YJL036W;
P38778		4932.YHR050W;
P39543		4932.YJL192C;
P35208		4932.YJL127C;
Q12455		4932.YLR146C;
Q04969		4932.YML055W;
P38957		4932.YDR078C;
P15705	P15108; P02829	4932.YOR027W;
P46679		4932.YMR053C;
P37296	P32366	4932.YMR054W;
Q03085		4932.YPL033C;
P25623	P34216; P36027; Itself	4932.YCR030C;
P38967		4932.YOL020W;
Q06510		4932.YPR140W;
P38811	Q02336; Q08649; Q12060; P32494; P35177	4932.YHR099W;
Q08422		4932.YOR052C;
P38227		4932.YBR043C;
P38066		4932.YBL033C;
P0CX41		4932.YER117W;
P36516		4932.YMR024W;
P23369		4932.YGR076C;
P0CX25		4932.YPR043W;
P0CX28		
P51998		4932.YML025C;
P20434	P08518; P20436; P29055	4932.YBR154C;
P38766		4932.YHR031C;
Q3E811		4932.YLR162W-A;
P38711		4932.YHR021C;
Q12469		4932.YOL113W;
P38889		4932.YHR206W;
Q06091	Q12309; P38302; P32523	4932.YPR101W;
Q12505		4932.YPL026C;
P39990	P15646; Q12460	4932.YEL026W;
Q12749	Q07913	4932.YLR383W;
P53207		4932.YGR013W;
